product_id,name,price,description,specifications,category,brand,image,rating,battery_life,windows_free,weight_kg,ram_gb,ssd_gb,display_size,processor_type
MBA-M4-13-2025,MacBook Air 13-inch (M4),51659,"A sleek, lightweight laptop perfect for students and professionals, offering exceptional performance with the new M4 chip and long battery life.","Apple M4 chip, 8GB/16GB RAM, 256GB/512GB SSD, 13.6-inch Retina Display (2560x1664), macOS, 12MP webcam, 20+ hours battery life",Ultrabook,Apple,"A silver MacBook Air with a slim profile, open on a white background, showing the Retina display and keyboard.",4.8,18,No,2.21,8,256,13.3-inch,Apple M1
ZB14-OLED-2025,Zenbook 14 OLED Touch,26772,"A premium ultraportable with a stunning OLED display, ideal for productivity and creative tasks, with nearly 20 hours of battery life.","Intel Core Ultra 7 155H, 16GB RAM, 1TB SSD, 14-inch OLED (2880x1800), Windows 11, 1080p webcam, 19.5 hours battery life",Ultrabook,Asus,"A sleek blue Zenbook with a vibrant OLED screen, closed on a modern desk setup.",4.7,7,Yes,1.74,8,512,14-inch,Intel i5
XPS13-2025,XPS 13,58590,"A compact, high-performance Windows ultrabook with a near-bezel-less display, perfect for work on the go.","Intel Core Ultra 9 185H, 16GB RAM, 512GB SSD, 13.4-inch 3K OLED (2880x1800), Windows 11, 1080p webcam, 15 hours battery life",Ultrabook,Dell,"A silver XPS 13 with a thin bezel display, open on a minimalist table.",4.6,14,No,2.96,8,128,15.6-inch,Intel i5
MSI004,MSI Model 4,87315,"MSI laptop with AMD Ryzen 5, 8GB, 512GB SSD, 17-inch FHD, and up to 6 hours battery life.","AMD Ryzen 5, 8GB, 512GB SSD, 17-inch FHD, Windows 11, battery life 6 hrs",Gaming,MSI,Image of MSI Model 4 on a desk setup.,4.4,11,Yes,2.8,6,256,14-inch,Intel i5
DEL005,Dell Model 5,41966,"Dell laptop with AMD Ryzen 7, 8GB, 256GB SSD, 16-inch QHD, and up to 8 hours battery life.","AMD Ryzen 7, 8GB, 256GB SSD, 16-inch QHD, Windows 11, battery life 8 hrs",Ultrabook,Dell,Image of Dell Model 5 on a desk setup.,3.6,8,No,3.49,12,512,15.6-inch,Intel i7
ACE006,Acer Model 6,54068,"Acer laptop with AMD Ryzen 5, 32GB, 1TB SSD, 13.3-inch FHD, and up to 11 hours battery life.","AMD Ryzen 5, 32GB, 1TB SSD, 13.3-inch FHD, Windows 11, battery life 11 hrs",Ultrabook,Acer,Image of Acer Model 6 on a desk setup.,3.9,10,Yes,2.09,4,128,14-inch,Intel i3
LG007,LG Model 7,41222,"LG laptop with AMD Ryzen 7, 16GB, 1TB SSD, 13.3-inch FHD, and up to 7 hours battery life.","AMD Ryzen 7, 16GB, 1TB SSD, 13.3-inch FHD, Windows 11, battery life 7 hrs",Ultrabook,LG,Image of LG Model 7 on a desk setup.,4.2,13,Yes,2.01,10,128,14-inch,Intel i5
LG008,LG Model 8,31643,"LG laptop with AMD Ryzen 5, 32GB, 1TB SSD, 13.3-inch FHD, and up to 7 hours battery life.","AMD Ryzen 5, 32GB, 1TB SSD, 13.3-inch FHD, Windows 11, battery life 7 hrs",Ultrabook,LG,Image of LG Model 8 on a desk setup.,4.3,6,No,1.76,4,256,14-inch,Intel i5
DEL009,Dell Model 9,28739,"Dell laptop with Intel Core i3, 32GB, 256GB SSD, 16-inch QHD, and up to 12 hours battery life.","Intel Core i3, 32GB, 256GB SSD, 16-inch QHD, Windows 11, battery life 12 hrs",Ultrabook,Dell,Image of Dell Model 9 on a desk setup.,4.5,10,No,1.92,12,128,14-inch,Intel i5
LG010,LG Model 10,76870,"LG laptop with Intel Core i3, 16GB, 1TB SSD, 17-inch FHD, and up to 12 hours battery life.","Intel Core i3, 16GB, 1TB SSD, 17-inch FHD, Windows 11, battery life 12 hrs",Gaming,LG,Image of LG Model 10 on a desk setup.,4.0,14,No,3.04,10,128,15.6-inch,Intel i5
MIC011,Microsoft Model 11,21107,"Microsoft laptop with Intel Core i3, 16GB, 1TB SSD, 16-inch QHD, and up to 6 hours battery life.","Intel Core i3, 16GB, 1TB SSD, 16-inch QHD, Windows 11, battery life 6 hrs",Convertible,Microsoft,Image of Microsoft Model 11 on a desk setup.,4.9,14,Yes,2.53,12,512,15.6-inch,Intel i3
MSI012,MSI Model 12,32278,"MSI laptop with AMD Ryzen 5, 8GB, 1TB SSD, 16-inch QHD, and up to 7 hours battery life.","AMD Ryzen 5, 8GB, 1TB SSD, 16-inch QHD, Windows 11, battery life 7 hrs",Workstation,MSI,Image of MSI Model 12 on a desk setup.,4.5,11,No,1.41,8,256,14-inch,Intel i7
MSI013,MSI Model 13,73201,"MSI laptop with AMD Ryzen 7, 32GB, 256GB SSD, 16-inch QHD, and up to 8 hours battery life.","AMD Ryzen 7, 32GB, 256GB SSD, 16-inch QHD, Windows 11, battery life 8 hrs",Convertible,MSI,Image of MSI Model 13 on a desk setup.,4.5,8,Yes,2.04,10,512,15.6-inch,Intel i5
ACE014,Acer Model 14,92635,"Acer laptop with Intel Core i3, 8GB, 256GB SSD, 13.3-inch FHD, and up to 10 hours battery life.","Intel Core i3, 8GB, 256GB SSD, 13.3-inch FHD, Windows 11, battery life 10 hrs",Student,Acer,Image of Acer Model 14 on a desk setup.,3.7,7,Yes,2.01,8,128,15.6-inch,Intel i5
